tickers,volume
AVB,124591099.20949782
EQR,103770342.9411491
AGNC,102554844.80634773
ELS,90650059.61047834
ESS,87715945.91011335
MAA,86790480.46075752
SUI,85786649.55833118
UDR,85369255.16566047
CPT,75464329.41037896
AMH,74219381.8432665
EDR,59387976.8192472
ARR,32992680.05812885
IRT,29504046.954281334
TWO,12490080.465691386
DX,11367636.151425136
AIV,9360384.15874309
NYMT,5721748.039975148
CHMI,1395958.255937254
EARN,673126.6363614145
FREVS,25278.604020341263
RESI,8738.404743444353
